e, e_dot, e_int, stamp, 
-2.3558087421838785, 3.304802374870519e-06, -0.267752083635424, 1729809143354284995, 
-2.352723022635439, 0.0010319649779937379, -0.23068558032612782, 1729809143400568616, 
-2.3346864276018593, 0.007040771527339729, -0.2275682650318644, 1729809143451215798, 
-2.3135574402970107, 0.01305519411280942, -0.21625917882019388, 1729809143493238321, 
-2.284046583837531, 0.016879947921442835, -0.21516070609025834, 1729809143544328186, 
-2.2456082060430838, 0.022649744751308987, -0.23112135421383684, 1729809143594559753, 
-2.2026063726709184, 0.027146737055537457, -0.2185437973667973, 1729809143641714692, 
-2.136300844298095, 0.03643578724832963, -0.2407670424806928, 1729809143704256683, 
-2.075630668990109, 0.04232523456026982, -0.24299439951359414, 1729809143755360166, 
-2.012537276758439, 0.04125452251321867, -0.20329929851256953, 1729809143802240610, 
-1.9409821511021623, 0.04488283929598221, -0.19470682625287017, 1729809143852242889, 
-1.8809274624582937, 0.04386993810004839, -0.17888973689174512, 1729809143894223487, 
-1.7344907741977538, 0.06883045896813618, -0.265179558558985, 1729809143995418078, 
-1.5821322390683705, 0.09959840779664104, -0.3631745878949546, 1729809144103846033, 
-1.4461064314328103, 0.09612811425498118, -0.3299444929153512, 1729809144203247116, 
-1.324250313842148, 0.08596064174207418, -0.2748092528747383, 1729809144293261276, 
-1.192946371544944, 0.08438668662928876, -0.25133029232720916, 1729809144393490167, 
-1.0488609764355807, 0.09179644580218908, -0.2508167875205958, 1729809144504264696, 
-0.9263622708079178, 0.08886136691234207, -0.22151979789947207, 1729809144603251472, 
-0.8158948718700187, 0.07765536818852066, -0.17582773354335526, 1729809144693251037, 
-0.6820465194310634, 0.08143858379228479, -0.16943531912501006, 1729809144812922383, 
-0.5922445173789523, 0.0745501181636888, -0.14635586311545898, 1729809144903312538, 
-0.4980870712357297, 0.06131981606511124, -0.11246410531456852, 1729809145003283748, 
-0.42058510637451896, 0.05721980366814446, -0.09566134711144735, 1729809145093252885, 
-0.33017358962551935, 0.055971160536736786, -0.08671849466291236, 1729809145211600492, 
-0.2719517036006245, 0.04954446759129816, -0.07164134689314196, 1729809145303404303, 
-0.2189974713841285, 0.03705870608046361, -0.05246903301886708, 1729809145403297892, 
-0.17773376207761693, 0.031405980507669184, -0.042313661352387094, 1729809145493241634, 
-0.1365212731043881, 0.027492066093246798, -0.033764782787417305, 1729809145593253583, 
-0.09793239139644827, 0.026600456893722885, -0.028832826362127383, 1729809145703093933, 
-0.06855109433700379, 0.022656726255794773, -0.021211290815689912, 1729809145803263065, 
-0.04842202897411907, 0.0165034541407764, -0.013623440034215758, 1729809145893272022, 
-0.027465396818869614, 0.013695232506044727, -0.010093346839230846, 1729809146012902713, 
-0.015549454085841852, 0.010957524962759072, -0.006406958308084008, 1729809146103481239, 
-0.0028981214400078947, 0.008189091792953906, -0.0029133714654076353, 1729809146203265348, 
0.007594550345238371, 0.007714668143693408, -0.0006865425589191709, 1729809146293255762, 
0.017895873915752425, 0.00693133178525344, 0.0014262844443278255, 1729809146392659646, 
0.02265827433352463, 0.0050212413294287534, 0.00337091362837388, 1729809146503287210, 
0.025135076149137348, 0.0024130674111283077, 0.004613521167716248, 1729809146603357270, 
0.025849381838345842, 0.0010637025016070705, 0.0046877708632260765, 1729809146694253951, 
0.029299571331364405, 0.0013881650607423524, 0.0056030730386235315, 1729809146812729162, 
0.028306107192252572, 0.0008189084513022434, 0.00582100361832809, 1729809146903504424, 
0.0254130172722955, -0.0012955180196896343, 0.005272466092117297, 1729809147003257309, 
0.026206064530865714, -0.0007000142204622861, 0.005081939346094611, 1729809147094255528, 
0.025361611869722633, -1.7135134190956098e-05, 0.004875382271080346, 1729809147193254906, 
0.026707247982924898, 0.00016706115068639468, 0.005448901249767169, 1729809147303092571, 
0.02700942974701226, 0.0005492726257632086, 0.0055361019064107285, 1729809147403278489, 
0.02443065371812203, -0.000758864754934289, 0.0049819048573376944, 1729809147494343050, 
0.021902117671351196, -0.0017024373585536878, 0.0046444400902112435, 1729809147593255338, 
0.022504783262618844, -0.0006419568185010623, 0.0045480095827108, 1729809147692549230, 
0.021874619531603745, -9.166046582483508e-06, 0.004640860106641548, 1729809147803307555, 
0.019190466464686917, -0.001104772265977309, 0.0044228431401513845, 1729809147901272790, 
0.017849273033015756, -0.0013417821661959965, 0.0036522570036206965, 1729809147989285493, 
0.015072132404417626, -0.0013727780200897637, 0.0035760460610720518, 1729809148107140240, 
0.014237689637246032, -0.0012038611319232413, 0.003303988271388535, 1729809148199466897, 
0.013471954517850104, -0.0005333926288558407, 0.0027256639623221618, 1729809148298272833, 
0.011203761098531384, -0.0010113095129048826, 0.00245014621667415, 1729809148388359095, 
0.011005070841234588, -0.0008222945588718389, 0.0024898134499125486, 1729809148507613520, 
0.009867162327313661, -0.00044553292373924097, 0.0022446397373050856, 1729809148598295509, 
0.009502434505588297, -0.0005008787785487634, 0.0018800267212115724, 1729809148693297203, 
0.010216775962974545, 0.00011653787855362789, 0.0019249215054520847, 1729809148793478763, 
0.009924313489799275, 0.0001406263280703257, 0.0020707231888783704, 1729809148902859655, 
0.009627446076641455, -0.00019644329544436326, 0.0020834669868547762, 1729809149003445456, 
0.008892287932680265, -0.00034400851903966984, 0.001805662742168658, 1729809149093303305, 
0.007030703000038052, -0.0008655810255344676, 0.001616938139656929, 1729809149193297959, 
0.00734596955226241, -0.000515439460139285, 0.00162341802280583, 1729809149302605911, 
0.007270232080271999, 7.98430267446489e-05, 0.001515326877852193, 1729809149403303995, 
0.007615220750139873, 8.975039929248751e-05, 0.0014145699627814826, 1729809149493493827, 
0.0070338596826560185, -7.879079920532679e-05, 0.0013831209528410912, 1729809149592605683, 
0.008312411701360656, 0.000232396983740261, 0.0016073750865945936, 1729809149703503056, 
0.008128839606654559, 0.0003649933079995134, 0.0016433594244026127, 1729809149802618674, 
0.00751841139549958, -0.00026466676862035854, 0.0015097115407360626, 1729809149892534708, 
0.0072366171037607785, -0.0002974075009645934, 0.0014543871513506281, 1729809149993284056, 
0.007591135845924857, 2.4241483475092213e-05, 0.0015655179132545458, 1729809150102707410, 
0.006630971813985198, -0.0002018817632585268, 0.0015096328390710742, 1729809150204335671, 
0.006032811115418646, -0.0005194415768354036, 0.0012875865250158139, 1729809150293414646, 
