x, y, theta, stamp, 
0.00022612501925323159, 4.125296982238069e-05, -0.00046825726976687266, 1729809143240629197, 
0.0002261460613226518, 4.12290173699148e-05, -0.00046801878573738136, 1729809143302603952, 
0.0002253254351671785, 4.216310480842367e-05, -0.000477316926571832, 1729809143354284995, 
0.0008785509271547198, 3.5496705095283687e-06, -0.003908775282636264, 1729809143400568616, 
0.0036374274641275406, -0.0002444743295200169, -0.023445723861247426, 1729809143451215798, 
0.007087376434355974, -0.00047454360174015164, -0.04640553184440485, 1729809143493238321, 
0.012503661215305328, -0.0007213734788820148, -0.0787216018656873, 1729809143544328186, 
0.01861659251153469, -0.0014543341239914298, -0.12053603619494191, 1729809143594559753, 
0.02583552710711956, -0.002929927548393607, -0.1678070291998761, 1729809143641714692, 
0.037333011627197266, -0.004980375524610281, -0.24071054260350128, 1729809143704256683, 
0.04800465703010559, -0.007723678834736347, -0.307871081239756, 1729809143755360166, 
0.059166792780160904, -0.011687511578202248, -0.3782490363989961, 1729809143802240610, 
0.07115772366523743, -0.01679951511323452, -0.45800115365286004, 1729809143852242889, 
0.08109821379184723, -0.02184099331498146, -0.5252139654686322, 1729809143894223487, 
0.10292130708694458, -0.03621552512049675, -0.6889252798627215, 1729809143995418078, 
0.12451039999723434, -0.05679789558053017, -0.8615239992401724, 1729809144103846033, 
0.1412811130285263, -0.0786273181438446, -1.0163011633160575, 1729809144203247116, 
0.15316668152809143, -0.09999779611825943, -1.1546291758518783, 1729809144293261276, 
0.16342775523662567, -0.12620966136455536, -1.304474653238714, 1729809144393490167, 
0.1703760027885437, -0.1566462516784668, -1.468324381460862, 1729809144504264696, 
0.17201684415340424, -0.18583981692790985, -1.60809330237947, 1729809144603251472, 
0.16991685330867767, -0.21228642761707306, -1.7331118875411422, 1729809144693251037, 
0.16205675899982452, -0.24759933352470398, -1.884949239051182, 1729809144812922383, 
0.15250810980796814, -0.2734244167804718, -1.9868536923877558, 1729809144903312538, 
0.13913004100322723, -0.3007437288761139, -2.0929636264707847, 1729809145003283748, 
0.12477713823318481, -0.3237819969654083, -2.179704863193824, 1729809145093252885, 
0.10299106687307358, -0.35277849435806274, -2.2807711967740305, 1729809145211600492, 
0.08432882279157639, -0.3730436861515045, -2.345406915740349, 1729809145303404303, 
0.06284014880657196, -0.39445745944976807, -2.40472292106736, 1729809145403297892, 
0.042412906885147095, -0.41262030601501465, -2.4507246590149636, 1729809145493241634, 
0.01839161105453968, -0.4316631853580475, -2.4960512597602658, 1729809145593253583, 
-0.00903763622045517, -0.45161062479019165, -2.5382175397393474, 1729809145703093933, 
-0.0341314822435379, -0.4686843752861023, -2.57012844887408, 1729809145803263065, 
-0.057010430842638016, -0.4828873574733734, -2.5915752691668907, 1729809145893272022, 
-0.08712409436702728, -0.5008801221847534, -2.6137784744250445, 1729809146012902713, 
-0.10899388045072556, -0.5132572054862976, -2.6260570873550284, 1729809146103481239, 
-0.13220077753067017, -0.5262657999992371, -2.639002250486718, 1729809146203265348, 
-0.15404433012008667, -0.538034975528717, -2.649353515116984, 1729809146293255762, 
-0.17767922580242157, -0.5503978729248047, -2.6591455861177624, 1729809146392659646, 
-0.20276275277137756, -0.5635133981704712, -2.6633298921750113, 1729809146503287210, 
-0.22413839399814606, -0.5746198892593384, -2.665215222183679, 1729809146603357270, 
-0.24400073289871216, -0.5848071575164795, -2.665215222183679, 1729809146694253951, 
-0.2692827880382538, -0.5977057218551636, -2.6676290346501648, 1729809146812729162, 
-0.28695711493492126, -0.6068975329399109, -2.6660559472470657, 1729809146903504424, 
-0.3066512644290924, -0.6167346835136414, -2.662035024904968, 1729809147003257309, 
-0.3239702582359314, -0.6256458163261414, -2.662077915544477, 1729809147094255528, 
-0.34311097860336304, -0.6355563998222351, -2.660431475923453, 1729809147193254906, 
-0.3633553087711334, -0.645666778087616, -2.660431475923453, 1729809147303092571, 
-0.38059982657432556, -0.6548635363578796, -2.6602396142973768, 1729809147403278489, 
-0.3962768614292145, -0.6630473136901855, -2.6569638682009287, 1729809147494343050, 
-0.4133433699607849, -0.672145426273346, -2.653880366107957, 1729809147593255338, 
-0.428971529006958, -0.6804274916648865, -2.653880366107957, 1729809147692549230, 
-0.4463326334953308, -0.6896401047706604, -2.6525580810267337, 1729809147803307555, 
-0.46064668893814087, -0.6973919868469238, -2.649490413634004, 1729809147901272790, 
-0.47449809312820435, -0.7049334645271301, -2.647816464488814, 1729809147989285493, 
-0.49140045046806335, -0.7140510082244873, -2.6444818469916664, 1729809148107140240, 
-0.5043461322784424, -0.7211940288543701, -2.643439855222019, 1729809148199466897, 
-0.5178506970405579, -0.7284425497055054, -2.6421262942098402, 1729809148298272833, 
-0.5299967527389526, -0.7348472476005554, -2.639153747052325, 1729809148388359095, 
-0.5455994606018066, -0.7434419989585876, -2.6386086754196594, 1729809148507613520, 
-0.5571056008338928, -0.7497473359107971, -2.6371436170380087, 1729809148598295509, 
-0.5684083104133606, -0.7560749053955078, -2.6366754440147604, 1729809148693297203, 
-0.5805709958076477, -0.7625226378440857, -2.6366197609400044, 1729809148793478763, 
-0.5932551026344299, -0.7695772051811218, -2.6360907553903448, 1729809148902859655, 
-0.6043824553489685, -0.7755988836288452, -2.6352543933746233, 1729809149003445456, 
-0.614281415939331, -0.7811713814735413, -2.6344361430594887, 1729809149093303305, 
-0.6250303387641907, -0.7871710658073425, -2.6323759125825386, 1729809149193297959, 
-0.6362399458885193, -0.7933818697929382, -2.6323759125825386, 1729809149302605911, 
-0.6461090445518494, -0.7990230321884155, -2.6323759125825386, 1729809149403303995, 
-0.6549603939056396, -0.8038923144340515, -2.6323759125825386, 1729809149493493827, 
-0.6644495129585266, -0.809297502040863, -2.6318214135270965, 1729809149592605683, 
-0.6747907996177673, -0.8149998188018799, -2.632693508752292, 1729809149703503056, 
-0.6836065053939819, -0.8200198411941528, -2.6325220542638927, 1729809149802618674, 
-0.6916965842247009, -0.824461042881012, -2.6315175819864485, 1729809149892534708, 
-0.7001102566719055, -0.8292339444160461, -2.6311914741937916, 1729809149993284056, 
-0.709401547908783, -0.8344311118125916, -2.6313028833748016, 1729809150102707410, 
-0.717231810092926, -0.8388291001319885, -2.630173697365617, 1729809150204335671, 
-0.7242540121078491, -0.8428182005882263, -2.6295389083287075, 1729809150293414646, 
-0.7322021126747131, -0.847181499004364, -2.629721714313939, 1729809150392606548, 
-0.7399987578392029, -0.8516321778297424, -2.6306777031878688, 1729809150503138961, 
-0.7470016479492188, -0.8556501269340515, -2.6296088861270492, 1729809150603760213, 
-0.7535656094551086, -0.859073281288147, -2.6296298180575293, 1729809150692924521, 
-0.7606289982795715, -0.8629071712493896, -2.630508442550498, 1729809150793075236, 
-0.7678713798522949, -0.867037296295166, -2.629714974850288, 1729809150904481372, 
-0.7743334770202637, -0.8707045912742615, -2.6313894576730714, 1729809151000305659, 
-0.7803196310997009, -0.8738596439361572, -2.630726315790837, 1729809151093310400, 
