x, y, theta, stamp, 
6.316295753094892e-08, -7.182474348610413e-08, 7.147937172690936e-07, 1729809334100553294, 
6.316295753094892e-08, -7.182474348610413e-08, 7.148119904306539e-07, 1729809334143425036, 
6.316295753094892e-08, -7.182474348610413e-08, 7.148308456368636e-07, 1729809334192885434, 
6.316295753094892e-08, -7.182474348610413e-08, 7.148359228526717e-07, 1729809334243503229, 
0.000642795639578253, -0.00013607129221782088, -0.004026072362771201, 1729809334303059048, 
0.003021783195436001, -0.00043259712401777506, -0.025231011119847907, 1729809334352607917, 
0.007079862058162689, -0.0006501287571154535, -0.054754090936854294, 1729809334403060079, 
0.012317406944930553, -0.00115103495772928, -0.08773841905801112, 1729809334450592540, 
0.0183511134237051, -0.0019935090094804764, -0.13077668874758727, 1729809334500704625, 
0.02409420907497406, -0.0030041292775422335, -0.17511077009842113, 1729809334543250955, 
0.03226892650127411, -0.004698161501437426, -0.2363426779341203, 1729809334593029739, 
0.0416758768260479, -0.006976937875151634, -0.31001894605373365, 1729809334644606824, 
0.05538075044751167, -0.012020629830658436, -0.39721947253449713, 1729809334702871603, 
0.06697152554988861, -0.01731353998184204, -0.4784539330786523, 1729809334754412527, 
0.08847671747207642, -0.030163608491420746, -0.6433006209891645, 1729809334851684225, 
0.10667416453361511, -0.0456325002014637, -0.7921565406904956, 1729809334943692463, 
0.1322929710149765, -0.07822558283805847, -1.0540987220189948, 1729809335103379968, 
0.144317165017128, -0.10175814479589462, -1.2122619652985085, 1729809335203460453, 
0.1521281599998474, -0.1272372603416443, -1.3709270706693948, 1729809335303404043, 
0.15569104254245758, -0.15122629702091217, -1.5090058793213275, 1729809335392910983, 
0.15613283216953278, -0.18197959661483765, -1.667632677880321, 1729809335503394942, 
0.15239205956459045, -0.21011880040168762, -1.8085272860342783, 1729809335603332654, 
0.1445082724094391, -0.23784761130809784, -1.940421957799308, 1729809335703332533, 
0.134479358792305, -0.2614985406398773, -2.0330820331675428, 1729809335793195753, 
0.11976628005504608, -0.28849390149116516, -2.13094360941538, 1729809335902509807, 
0.1036757305264473, -0.3122604489326477, -2.215289575169728, 1729809336003347949, 
0.08643362671136856, -0.3337861895561218, -2.2894625288750876, 1729809336103341637, 
0.06608692556619644, -0.35565969347953796, -2.355861696211391, 1729809336212961915, 
0.04848344624042511, -0.37277501821517944, -2.4041681887164814, 1729809336303406294, 
0.028447970747947693, -0.3902781307697296, -2.449154378921813, 1729809336403338701, 
0.018407467752695084, -0.3987121284008026, -2.468515632539617, 1729809336453410915, 
-0.010031825862824917, -0.42046698927879333, -2.514015253239179, 1729809336594454414, 
-0.032564759254455566, -0.43651437759399414, -2.543466147219715, 1729809336702519162, 
-0.05305890738964081, -0.4502321779727936, -2.564284044046064, 1729809336803345502, 
-0.07326989620923996, -0.463260293006897, -2.5797696004495823, 1729809336903383803, 
-0.09158822894096375, -0.47440630197525024, -2.5907277496098184, 1729809336993236594, 
-0.11333528161048889, -0.4875485599040985, -2.603056128505576, 1729809337102517817, 
-0.13303974270820618, -0.49894288182258606, -2.613551790883609, 1729809337203349152, 
-0.1522621065378189, -0.5098543763160706, -2.6212363064797057, 1729809337303354756, 
-0.16892582178115845, -0.5192084312438965, -2.624491677796653, 1729809337392595475, 
-0.1891939342021942, -0.5308177471160889, -2.62702250578387, 1729809337502612289, 
-0.20731104910373688, -0.5409219861030579, -2.6288907207930703, 1729809337603351629, 
-0.2250901162624359, -0.5508668422698975, -2.6296827167038717, 1729809337703393092, 
-0.2402988225221634, -0.5594210028648376, -2.631382016997697, 1729809337792916199, 
-0.25881725549697876, -0.5698847770690918, -2.631382016997697, 1729809337904397936, 
-0.2752934694290161, -0.5791528820991516, -2.631382016997697, 1729809338003358361, 
-0.29168862104415894, -0.5882251262664795, -2.631382016997697, 1729809338103397242, 
-0.30600088834762573, -0.5961052179336548, -2.6305118309197217, 1729809338192554918, 
-0.32293248176574707, -0.6054964661598206, -2.6305118309197217, 1729809338303957359, 
-0.3381645679473877, -0.6140740513801575, -2.6300207128015076, 1729809338403360591, 
-0.35290825366973877, -0.6221392750740051, -2.6294935008872176, 1729809338504370676, 
-0.3685506582260132, -0.6310890316963196, -2.6294935008872176, 1729809338613438583, 
-0.37983760237693787, -0.6373400688171387, -2.6280431696773032, 1729809338692959064, 
-0.3949032723903656, -0.645969569683075, -2.628343800134652, 1729809338803366429, 
-0.4085651636123657, -0.6535491943359375, -2.6262401283077943, 1729809338903387804, 
-0.42053860425949097, -0.6602419018745422, -2.6262401283077943, 1729809338993466462, 
-0.43472978472709656, -0.668228805065155, -2.624724160438111, 1729809339103006857, 
-0.44735947251319885, -0.6752876043319702, -2.6245159281367694, 1729809339203369978, 
-0.45967918634414673, -0.6822502017021179, -2.62384115299749, 1729809339304441754, 
-0.47062423825263977, -0.6886298656463623, -2.6225387569232477, 1729809339393353429, 
-0.4835534989833832, -0.6960486173629761, -2.621703760182772, 1729809339503446017, 
-0.4951053261756897, -0.7026212811470032, -2.619873404064852, 1729809339603376097, 
-0.5003518462181091, -0.7055445909500122, -2.619039366558243, 1729809339649401193, 
-0.5182148814201355, -0.7155740857124329, -2.6185569927950625, 1729809339807629388, 
-0.5289379358291626, -0.7217116355895996, -2.617350110981774, 1729809339908490957, 
-0.5383890867233276, -0.7271623611450195, -2.6171519559240686, 1729809339998387816, 
-0.5485506653785706, -0.7330014109611511, -2.6171021163145474, 1729809340099490340, 
-0.558485746383667, -0.7388436794281006, -2.6176749048494754, 1729809340197586239, 
-0.5693977475166321, -0.7452077269554138, -2.6170246631951835, 1729809340307527070, 
-0.57815021276474, -0.7501320838928223, -2.617039940271026, 1729809340398385017, 
-0.5829089879989624, -0.7529559135437012, -2.6173987985357683, 1729809340448414667, 
-0.5963905453681946, -0.760687530040741, -2.615316417248521, 1729809340593131711, 
-0.6009995937347412, -0.7634084224700928, -2.6153702555846716, 1729809340642731647, 
-0.6104905009269714, -0.769086480140686, -2.616058642909856, 1729809340753450925, 
-0.6232197284698486, -0.7762761116027832, -2.6142420110252576, 1729809340899436130, 
-0.6328113675117493, -0.7818647623062134, -2.6143546562489894, 1729809341013058282, 
-0.6353010535240173, -0.7833541035652161, -2.6143546562489894, 1729809341043497937, 
-0.6444582343101501, -0.7886016964912415, -2.6142801541052787, 1729809341153462439, 
-0.6558392643928528, -0.7954281568527222, -2.613560266565445, 1729809341299469957, 
-0.6634134650230408, -0.799786388874054, -2.6132936502017183, 1729809341392568206, 
-0.6671387553215027, -0.8020838499069214, -2.6132936502017183, 1729809341443216542, 
-0.6755744218826294, -0.8070295453071594, -2.613468199998009, 1729809341552552482, 
-0.6861187815666199, -0.8131663203239441, -2.6114168092534116, 1729809341700487878, 
-0.6928970217704773, -0.8169765472412109, -2.610291453298708, 1729809341793450112, 
-0.6974902153015137, -0.819661557674408, -2.61014941562667, 1729809341859976993, 
-0.7040485143661499, -0.823532223701477, -2.6106035483277403, 1729809341952542264, 
-0.7139047384262085, -0.82935631275177, -2.610134150597525, 1729809342100450366, 
-0.7202480435371399, -0.832886278629303, -2.608359281548441, 1729809342192522046, 
-0.7232752442359924, -0.8347825407981873, -2.6089610637169773, 1729809342242780044, 
