e, e_dot, e_int, stamp, 
-2.356193446503817, 1.416327962762883e-05, -0.2140132763562853, 1731622404420967498, 
-2.356202464629161, -1.0824508011412584e-05, -0.3536081441995441, 1731622404510130959, 
-2.3562020723757784, -2.875290653866121e-05, -0.4930040198534907, 1731622404630204473, 
-2.3562020723757784, 1.3075112755463654e-06, -0.2829174782239894, 1731622404630204473, 
-2.356194507286704, 2.5216963580968848e-05, -0.21266473278183792, 1731622404720461995, 
-2.356190129826491, 3.9808497624231144e-05, -0.49514723013636974, 1731622404840351388, 
-2.356195278798721, -2.5717067231312285e-06, -0.5011855221860189, 1731622404933171844, 
-2.35619606147585, -1.9772164529345087e-05, -0.40814070225811677, 1731622405013571731, 
-2.3561799467043154, 5.1106981352096646e-05, -0.44174929758167164, 1731622405120656392, 
-2.35296417836917, 0.010772943688932557, -0.46409628354173493, 1731622405210630728, 
-2.3235638748042904, 0.10872023966675008, -0.42304550061499574, 1731622405301118385, 
-2.27413527761479, 0.26276300251460033, -0.48677691020056313, 1731622405420730205, 
-2.1992310583065806, 0.41444272165903256, -0.47561959364066114, 1731622405511045328, 
-2.08890729719975, 0.6174266013834669, -0.4598257888468315, 1731622405630943531, 
-1.9527287846745698, 0.8216742454400361, -0.4366995523019473, 1731622405720967864, 
-1.8138228421061058, 0.9169481836454807, -0.3553738722554565, 1731622405813016641, 
-1.6699610270413634, 0.942559192110688, -0.3809978869314946, 1731622405931211771, 
-1.5327780184613677, 0.9368160788157934, -0.3482437966616543, 1731622406021273095, 
-1.3970895966491566, 0.9095714346406895, -0.2761877181530147, 1731622406111340906, 
-1.2660932436992456, 0.8889492492070739, -0.2939939249918703, 1731622406231470903, 
-1.1594330385588232, 0.7921885269677779, -0.2712914350102496, 1731622406324251209, 
-1.0827830732793045, 0.6110339013998037, -0.21049365554632693, 1731622406411466708, 
-1.0368978030015295, 0.4084507851909791, -0.19374791688741094, 1731622406501507555, 
-1.0230333044916033, 0.1991658959590037, -0.2201543126077265, 1731622406621623566, 
-1.0201115372032348, 0.055954219327648914, -0.21601121706091642, 1731622406711905178, 
-1.0197100521908897, 0.011077507669045398, -0.18735311457644288, 1731622406805131882, 
-1.019651707522872, 0.001532765601209481, -0.19368904063754902, 1731622406901829085, 
-1.0195805773736146, 0.0004315827242503308, -0.19041096251822576, 1731622406991873842, 
-1.0194916530409397, 0.0005335149397741231, -0.21489383846971186, 1731622407112597212, 
-1.0195248182344172, 0.0001858637973247331, -0.21771166077126958, 1731622407205414551, 
-1.0195205099714226, -9.618976827644825e-05, -0.19378587008262288, 1731622407302674237, 
-1.019541497914786, -5.55989345629726e-05, -0.2215315342382085, 1731622407422702678, 
-1.0195548840228268, -0.00011458017134720795, -0.21445815939287363, 1731622407513022411, 
-1.019536223262705, 1.7582173603702955e-05, -0.18643391696026143, 1731622407605562741, 
-1.0195803294486276, -8.481808600283951e-05, -0.21396713262437503, 1731622407722885226, 
-1.0195530117323193, -5.596156538093903e-05, -0.2120523305779232, 1731622407813547611, 
-1.017885270706652, 0.005650195806585767, -0.21388109934918578, 1731622407932777078, 
-1.0026676109625057, 0.05628466923271199, -0.21212518338793382, 1731622408022874382, 
-0.9803285693011241, 0.12518900468509267, -0.18011677682460187, 1731622408112840949, 
-0.9446830908357045, 0.19328173375600408, -0.17550584494858149, 1731622408202715644, 
-0.8942081650178877, 0.2870680142774547, -0.2001541952674306, 1731622408325829869, 
-0.8378854480380611, 0.35599214265881124, -0.19644939268834444, 1731622408422886485, 
-0.7851245714033772, 0.3636119787150349, -0.1562752994644962, 1731622408512077490, 
-0.7427014277206925, 0.317280067724562, -0.16497022397676167, 1731622408632088107, 
-0.7132859670437872, 0.23946201453196667, -0.15936232614003312, 1731622408725403279, 
-0.69729386089104, 0.15135855609884175, -0.13034392754645846, 1731622408813686206, 
-0.693573194795909, 0.06570924082626088, -0.12482040044097234, 1731622408903366192, 
-0.6940794929452947, 0.010714559819150852, -0.14569177677835285, 1731622409023320036, 
-0.6936077303660846, -0.00011511856725210379, -0.1457097044062577, 1731622409113397147, 
-0.6818761548944785, 0.04067779350272064, -0.12557676039629168, 1731622409205353737, 
-0.6656326853966068, 0.09325014989825926, -0.14228584288538537, 1731622409322526569, 
-0.6399240637232022, 0.1398403039042543, -0.13765328564520068, 1731622409413139296, 
-0.6099933296679243, 0.18546451909560835, -0.13497859906211807, 1731622409533920571, 
-0.5773283805850538, 0.2086522771271615, -0.12826407928687444, 1731622409623725219, 
-0.546165978089137, 0.21275783859595757, -0.10569502549497974, 1731622409716837980, 
-0.5257263562566545, 0.17200674776133074, -0.09537870652558293, 1731622409797222991, 
-0.5129483523702079, 0.11072541906309723, -0.11047361069061128, 1731622409925957316, 
-0.4905317383317658, 0.11731539308296253, -0.11572068390870355, 1731622410024244040, 
-0.46161854445122996, 0.17109935972992632, -0.09366671963988323, 1731622410117753385, 
-0.4190704178997948, 0.23820440143990318, -0.08231745385294598, 1731622410204340768, 
-0.3728501474735988, 0.2958946565921039, -0.08682578056476613, 1731622410325546935, 
-0.33714143998879864, 0.27309659303665396, -0.08287299952292218, 1731622410424540365, 
-0.30860811473280725, 0.2141401091359718, -0.06525041754647372, 1731622410517723756, 
-0.2778169241669426, 0.1977483860728535, -0.06462092136904017, 1731622410634447035, 
-0.25096442326344404, 0.1921456382312107, -0.0580032976090496, 1731622410725524189, 
-0.22909792173047983, 0.1623966747882092, -0.04525490400635812, 1731622410813584686, 
-0.21030292993701893, 0.13553831108808367, -0.041215803340590766, 1731622410904628519, 
-0.19041303424169342, 0.12894962496262133, -0.04433232147128639, 1731622411024753362, 
-0.18493518876315473, 0.084559137246214, -0.04102529000805123, 1731622411114780705, 
-0.17558836730866823, 0.04941555644341733, -0.03903666058908415, 1731622411237318626, 
-0.16506689412920972, 0.06622764877981673, -0.03683613091688245, 1731622411325036414, 
-0.15744905351798577, 0.06046437930227485, -0.03458482227489061, 1731622411445617297, 
-0.15217649945624867, 0.042967982243203494, -0.03307584090303087, 1731622411534071808, 
-0.14524723669871875, 0.040672722730890065, -0.02570779390929361, 1731622411615166638, 
