imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, stamp, 
-0.00678563117980957, -0.0008779168128967285, -0.006263166426711338, -1.9259240058856257e-16, -1.602652616865749e-05, 1.2017102057038953e-11, 6.4106104674629866e-06, 0.0, 6.166681743025038e-08, -7.252887002096031e-08, 1731622404.3301375, 
0.01123034954071045, -0.02244788408279419, 0.009467880845798242, -1.5487722493105408e-11, -4.787140252134037e-05, 3.2352765278187133e-07, 9.445285655849218e-06, -1.7865774210172215e-15, 6.166681743025038e-08, -7.252887002096031e-08, 1731622404.3600552, 
-0.014063537120819092, -0.016825079917907715, -0.011687070487481618, 5.2156649218909163e-11, 6.891963295810322e-05, 7.56774912754042e-07, -2.170971236756011e-06, -5.4980030482304954e-14, 6.166681743025038e-08, -7.252887002096031e-08, 1731622404.4209676, 
-0.010643720626831055, -0.014181077480316162, -0.010748110811602048, 8.827721068439215e-11, -0.00011004997305368957, -8.021556774150662e-07, 1.5749165290008644e-05, 6.401403169033897e-13, 6.166681743025038e-08, -7.252887002096031e-08, 1731622404.510131, 
0.0071593523025512695, -0.028596937656402588, 0.005351274739621641, -2.8303001518068527e-10, -0.00010298916064272238, 2.7481534310444476e-06, 1.5045268344993332e-05, 4.746616833149355e-13, 6.166681743025038e-08, -7.252887002096031e-08, 1731622404.6302044, 
0.016010761260986328, -0.01156085729598999, 0.01493344272184299, 7.206551465771912e-11, 5.34606299352689e-05, 1.3480109520777692e-06, -6.031861861789417e-07, -4.6113767925009e-13, 6.166681743025038e-08, -7.252887002096031e-08, 1731622404.720462, 
0.0011387467384338379, -0.007481098175048828, 0.0025309799737021597, -3.2014723324527815e-11, 0.00014334210585424385, -2.2334486530483726e-07, -9.59235000513394e-06, -2.996400148819666e-12, 6.166681743025038e-08, -7.252887002096031e-08, 1731622404.8403513, 
0.002684950828552246, 0.006759285926818848, 0.0026690281568217526, 3.4070804240061304e-11, 4.0155748008659784e-05, 8.484664320712882e-07, 7.261338427607993e-07, 1.576785798997055e-12, 6.166681743025038e-08, -7.252887002096031e-08, 1731622404.9331717, 
-0.002653777599334717, 0.004368245601654053, -0.0021163036868341455, 6.345211016588947e-12, 2.6066838218763216e-05, 2.434208154950526e-07, 2.135395516412113e-06, 2.172728334433281e-12, 6.166681743025038e-08, -7.252887002096031e-08, 1731622405.0135717, 
0.39526206254959106, 0.0888601541519165, 0.3551154561940918, 7.468608816218956e-10, 0.00034929219857488366, 2.1382123181367832e-06, -3.0184978586835556e-05, -1.3520623007407848e-11, 6.166681743025038e-08, -7.252887002096031e-08, 1731622405.1206565, 
0.9281039237976074, -0.02351909875869751, 0.8702250321072946, -0.01326310773801204, 0.04572779046021663, -0.2900447978030121, 5.649641977133107e-05, -1.1571827771457937e-08, 0.002339327475056052, -2.2272983187576756e-05, 1731622405.2106307, 
0.013216793537139893, -0.2714882493019104, 0.09982715517079577, -0.08665149226752511, 0.15874351607286574, -0.5458584666081777, 0.005009336426358993, -1.7328685499255972e-05, 0.011247863993048668, -0.0008585821487940848, 1731622405.3011184, 
0.8502365946769714, -0.9849148988723755, 0.774741975869084, -0.4536960891589786, 0.47635412903692426, -0.9524344631508603, 0.02398728841623219, -0.0006820268169091395, 0.024481967091560364, -0.002396917436271906, 1731622405.42073, 
0.3419156074523926, -0.6039248108863831, 0.3854288986899537, -0.4363130600510239, 0.34714742435730805, -1.2568523613816025, 0.06939767445260747, -0.005004228615037148, 0.04522521048784256, -0.006477817427366972, 1731622405.5110452, 
-0.13477963209152222, -0.5007563829421997, -0.08231553663777436, -0.449767224303445, 0.2938912378347288, -1.530386641048393, 0.10230312117087557, -0.011458426111907033, 0.06562580168247223, -0.012890754267573357, 1731622405.6309435, 
0.08925259113311768, -0.32064324617385864, 0.07185665221535698, -0.348342135701204, 0.22835389463354627, -1.5254486299005774, 0.1299127609847777, -0.020661615588068605, 0.08994314074516296, -0.0252582635730505, 1731622405.7209678, 
