imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, stamp, 
-0.010326206684112549, 0.01688981056213379, -0.00736638162359885, 1.1546734000345406e-08, -0.00017388406326667314, -6.640478594428193e-05, 3.318102768540214e-05, 0.0, -0.008271086029708385, -8.286420779768378e-05, 1731622686.1679087, 
0.0023720860481262207, 0.008046865463256836, -0.002018541987699141, 1.643608430212532e-08, -0.00023983245979030993, -6.853152536773254e-05, 3.8592998317949974e-05, -3.271847889447132e-11, -0.008270720019936562, -8.334322046721354e-05, 1731622686.1989267, 
-0.017422020435333252, 0.009885132312774658, -0.009881914614648525, 1.6662580627052413e-08, -0.0004806090086558417, -3.466972180495328e-05, 7.804245200860734e-05, -6.261735020587142e-11, -0.008270720019936562, -8.334322046721354e-05, 1731622686.2289495, 
-0.004806101322174072, 0.0008298754692077637, -0.007308466915095797, 4.065520654371207e-08, -0.0006457082227592919, -6.296219423996337e-05, 9.559279100499897e-05, -4.3773638411998954e-11, -0.008270354010164738, -8.382223313674331e-05, 1731622686.25983, 
-0.0042994022369384766, -0.007031083106994629, -0.005781062867875677, 1.8493258929485628e-08, -0.0006341644112764815, -2.916161582177304e-05, 9.561289519878804e-05, 7.24964112299717e-11, -0.008270354010164738, -8.382223313674331e-05, 1731622686.3494833, 
-0.2976512908935547, 0.8525977730751038, -0.15150042021986423, -0.00010087940865409566, -0.004446504314400947, 0.022687352023335796, 0.000729866585837252, -1.4072671754974627e-07, -0.008364475332200527, 8.090148185146973e-05, 1731622686.4390495, 
0.01805257797241211, 0.16538983583450317, -0.066549041166071, -0.002200303690623752, -0.007939407800413573, 0.27713700390967894, 0.0008710265804332178, -6.639642672308697e-06, -0.00813230685889721, -0.00044147539301775396, 1731622686.5324397, 
0.6982178688049316, -0.062404632568359375, 0.3155314891740134, 0.004052856024701734, 0.005670409494181135, 0.7147378031270399, -0.00047457587607645853, -4.260655950170715e-05, -0.009586786851286888, -0.0007275640964508057, 1731622686.6192267, 
-0.05943489074707031, 0.12410140037536621, 0.12912912135142982, 0.04818782846653393, 0.05527138505788721, 0.8718404363499399, 0.0030882669282941136, 0.00016034587576465068, -0.01219866331666708, -0.0009517993312329054, 1731622686.739109, 
0.08934640884399414, -0.04640883207321167, 0.10805974065030824, 0.030579157966878, 0.033011108081121926, 0.926329340164298, 0.00561405862979056, 0.0008428774579926232, -0.017429400235414505, -0.001845288323238492, 1731622686.8293674, 
