x, y, theta, stamp, 
-0.013734293170273304, -0.007572490256279707, -0.12407682053423073, 1729809271389678355, 
-0.013733701780438423, -0.007573360111564398, -0.12406888163570572, 1729809271454718864, 
-0.013733701780438423, -0.007573360111564398, -0.12406884416894268, 1729809271499813968, 
-0.0132683627307415, -0.007598426658660173, -0.12646660999881776, 1729809271548641998, 
-0.011318312957882881, -0.008216681890189648, -0.14540517755750437, 1729809271598623761, 
-0.007244948297739029, -0.008923365734517574, -0.17312498864644632, 1729809271649654719, 
-0.001736497855745256, -0.009815637953579426, -0.2037493961839727, 1729809271695755437, 
0.0037808518391102552, -0.011403565295040607, -0.24090839663639138, 1729809271739867102, 
0.01132293976843357, -0.013907996006309986, -0.2897919775553029, 1729809271789196576, 
0.022694280371069908, -0.017929349094629288, -0.36908962270831575, 1729809271855659019, 
0.031359896063804626, -0.021615374833345413, -0.4275480569757449, 1729809271899668936, 
0.041801780462265015, -0.026721453294157982, -0.5013516703246579, 1729809271949878595, 
0.052185121923685074, -0.0336693711578846, -0.5803987942473089, 1729809271998620252, 
0.06256845593452454, -0.04051360487937927, -0.6654772018952747, 1729809272050625636, 
0.07903727144002914, -0.05611107125878334, -0.8081741618930428, 1729809272139836503, 
0.09765075892210007, -0.08026499301195145, -0.996138189708504, 1729809272255762401, 
0.10925579071044922, -0.10227451473474503, -1.1389163481064688, 1729809272348653406, 
0.1178312748670578, -0.1266024112701416, -1.294404413175641, 1729809272450635525, 
0.12282928824424744, -0.15077050030231476, -1.428022236500032, 1729809272540147319, 
0.12458967417478561, -0.1827607899904251, -1.5950519688600333, 1729809272657074766, 
0.12200167030096054, -0.20721609890460968, -1.7201855780644641, 1729809272748702245, 
0.11671385914087296, -0.23331232368946075, -1.8470479578833514, 1729809272846694186, 
0.10935652256011963, -0.2575330138206482, -1.9468596385305272, 1729809272940006086, 
0.0965716615319252, -0.2880021035671234, -2.057765602630739, 1729809273056690459, 
0.08434519916772842, -0.3101060092449188, -2.1403574659920412, 1729809273149702878, 
0.06932294368743896, -0.33245325088500977, -2.2205076131502666, 1729809273247670903, 
0.054166365414857864, -0.3512933552265167, -2.2836832287029303, 1729809273340399875, 
0.033430442214012146, -0.37339431047439575, -2.350533099494863, 1729809273457704571, 
0.016195077449083328, -0.38964396715164185, -2.3968402581769084, 1729809273549692617, 
-0.002306294161826372, -0.40522095561027527, -2.438966766611236, 1729809273647658081, 
-0.019684646278619766, -0.41885659098625183, -2.471162784686705, 1729809273740033305, 
-0.04229765012860298, -0.43563809990882874, -2.507775279956425, 1729809273858380571, 
-0.06030811741948128, -0.4481373131275177, -2.5309498070005785, 1729809273950689086, 
-0.07899999618530273, -0.46028441190719604, -2.5491622244349936, 1729809274048720218, 
-0.09690297394990921, -0.47155478596687317, -2.562767472988918, 1729809274140695130, 
-0.11919370293617249, -0.48533353209495544, -2.5808673349570292, 1729809274258972493, 
-0.13627731800079346, -0.4955005347728729, -2.591313819082735, 1729809274349791449, 
-0.15477164089679718, -0.5063210129737854, -2.6006765315545897, 1729809274449675782, 
-0.1707732230424881, -0.515701174736023, -2.6080072515311343, 1729809274540381559, 
-0.191945418715477, -0.5278635621070862, -2.6131327677083824, 1729809274660097782, 
-0.20752198994159698, -0.5369036793708801, -2.616947604408065, 1729809274749699535, 
-0.22484497725963593, -0.5466667413711548, -2.6191762744450027, 1729809274849697017, 
-0.24014812707901, -0.5554918646812439, -2.622271045840199, 1729809274940130661, 
-0.2599533796310425, -0.5665920972824097, -2.621680501455512, 1729809275059696379, 
-0.27407824993133545, -0.5745174884796143, -2.6223398720791495, 1729809275149815202, 
-0.2901858687400818, -0.5838320255279541, -2.6214274735421754, 1729809275249691062, 
-0.30402886867523193, -0.5918310284614563, -2.6212547511079816, 1729809275340138067, 
-0.3223717510700226, -0.602170467376709, -2.6195561739058246, 1729809275459721343, 
-0.3356323838233948, -0.6099551320075989, -2.6209386638457124, 1729809275550724199, 
-0.350126713514328, -0.6182975769042969, -2.619823133029946, 1729809275649911945, 
-0.3627631664276123, -0.6255859732627869, -2.6202692964758048, 1729809275740242165, 
-0.3789454996585846, -0.6350400447845459, -2.6200770359855796, 1729809275859722574, 
-0.39109376072883606, -0.6420094966888428, -2.6195942813491615, 1729809275950761507, 
-0.40443548560142517, -0.6498538851737976, -2.6195942813491615, 1729809276049850222, 
-0.4161507487297058, -0.6564693450927734, -2.61761737990795, 1729809276140279261, 
-0.431488037109375, -0.6652278304100037, -2.619177764230242, 1729809276260059604, 
-0.4424370527267456, -0.6720094084739685, -2.617868362273708, 1729809276350116447, 
-0.45468810200691223, -0.6789492964744568, -2.6178057963002397, 1729809276450087828, 
-0.46517422795295715, -0.6851640343666077, -2.6178057963002397, 1729809276540219702, 
-0.47890371084213257, -0.6934473514556885, -2.6170831914439607, 1729809276659888092, 
-0.4890974760055542, -0.6994649767875671, -2.6164636090088282, 1729809276749899262, 
-0.5003700852394104, -0.7060600519180298, -2.61522510286894, 1729809276849681337, 
-0.5100077390670776, -0.711825430393219, -2.6144080297731516, 1729809276940240985, 
-0.5230377316474915, -0.719344437122345, -2.6144080297731516, 1729809277059733996, 
-0.5322861075401306, -0.724945604801178, -2.615215793334559, 1729809277149706383, 
-0.5426475405693054, -0.7310412526130676, -2.615215793334559, 1729809277249676063, 
-0.551593542098999, -0.7364355325698853, -2.615215793334559, 1729809277341269469, 
-0.5632027983665466, -0.7432491779327393, -2.61597346563898, 1729809277459868366, 
-0.5716714262962341, -0.7482398152351379, -2.61635375286671, 1729809277549754077, 
-0.580837607383728, -0.7536137104034424, -2.61635375286671, 1729809277649682182, 
-0.5890635848045349, -0.7584270238876343, -2.616188196822072, 1729809277741257712, 
-0.5997536182403564, -0.7647640705108643, -2.616188196822072, 1729809277859753214, 
-0.6083399653434753, -0.7693817019462585, -2.615449013263182, 1729809277952758769, 
-0.616523802280426, -0.77408367395401, -2.615449013263182, 1729809278049689194, 
-0.6244708895683289, -0.7787778377532959, -2.6162350468450573, 1729809278148273726, 
-0.6337354779243469, -0.7843748927116394, -2.614628357678532, 1729809278259763631, 
-0.6408361792564392, -0.7886876463890076, -2.614628357678532, 1729809278349765566, 
-0.6486234664916992, -0.7931839227676392, -2.614862233378463, 1729809278449691274, 
-0.6557395458221436, -0.7971228361129761, -2.6154500738389697, 1729809278543683901, 
-0.6640452742576599, -0.8020092248916626, -2.6153193361022202, 1729809278654987815, 
-0.6709182262420654, -0.8059612512588501, -2.616171377927407, 1729809278749729886, 
-0.6778964400291443, -0.8103240132331848, -2.616171377927407, 1729809278849739201, 
-0.6844369173049927, -0.8139376640319824, -2.6151275443068207, 1729809278939759342, 
-0.69255131483078, -0.818604588508606, -2.6157916878888274, 1729809279060761360, 
-0.6984739303588867, -0.8220822215080261, -2.614701007016813, 1729809279149776756, 
-0.7049641609191895, -0.826084315776825, -2.614701007030964, 1729809279249699333, 
-0.7110574841499329, -0.8293524384498596, -2.6151098277803366, 1729809279339509493, 
-0.7187503576278687, -0.8338451385498047, -2.614924827312942, 1729809279461211459, 
-0.7241126894950867, -0.8374214172363281, -2.6137559578983445, 1729809279549730578, 
-0.7305738925933838, -0.8410896062850952, -2.6115834594430547, 1729809279649705851, 
-0.736662745475769, -0.8446627259254456, -2.6120505262045643, 1729809279760098995, 
-0.7413331866264343, -0.8474506139755249, -2.6135005012119668, 1729809279840207062, 
-0.7476412057876587, -0.8511490821838379, -2.6142507925940626, 1729809279949784794, 
-0.7531249523162842, -0.8545228242874146, -2.6159426423532195, 1729809280049717622, 
-0.7578858733177185, -0.8571905493736267, -2.614360866789711, 1729809280140381293, 
-0.7639281749725342, -0.8607780337333679, -2.6138305429856756, 1729809280256117600, 
-0.7688475847244263, -0.8636536598205566, -2.614810670006993, 1729809280349763670, 
-0.7734507322311401, -0.8664863705635071, -2.615630146176765, 1729809280450721458, 
-0.7780465483665466, -0.86895751953125, -2.614905412513532, 1729809280540445677, 
-0.7834077477455139, -0.8722450137138367, -2.6153521563924857, 1729809280656095753, 
-0.7879625558853149, -0.8749175071716309, -2.6149757882576616, 1729809280749793817, 
