e, e_dot, e_int, stamp, 
-2.3562195203956806, -7.289784563842734e-05, -0.4919308527614791, 1731623562833035340, 
-2.356197073605721, 3.87509488645558e-05, -0.4258801052085822, 1731623562922237077, 
-2.356197855704044, 7.221563878889725e-05, -0.4931813582267877, 1731623563042347092, 
-2.3561822489698097, 4.9415453037641534e-05, -0.49510508407407033, 1731623563132366388, 
-2.3561822489698097, 5.202244744761941e-05, -0.21210233560236852, 1731623563132366388, 
-2.356197976010022, -5.242346737451461e-05, -0.21189083839835116, 1731623563222295920, 
-2.3562109471159443, -9.566048711532697e-05, -0.5008961287006264, 1731623563344953076, 
-2.3562053255762794, -2.4498554191213866e-05, -0.47776214946892304, 1731623563425063591, 
-2.356217634701476, -2.229195177190964e-05, -0.41717134860839866, 1731623563522004832, 
-2.356194432717064, 3.630953071838879e-05, -0.4410522326949073, 1731623563612251074, 
-2.3515540109341795, 0.015545412557654478, -0.42438140267553687, 1731623563702235625, 
-2.3246404674328844, 0.10517988428059806, -0.4994529703360868, 1731623563825316496, 
-2.2745353122296383, 0.2567289956818038, -0.5099432173443689, 1731623563922331888, 
-2.1965223058827963, 0.42706053850029385, -0.4915636338355185, 1731623564042320089, 
-2.0907398329243287, 0.6126515976843653, -0.4375760964904303, 1731623564122388092, 
-1.9680519590477343, 0.7615678227835398, -0.38122065548863904, 1731623564225150551, 
-1.8442120258631838, 0.8217593568704832, -0.4333027975188744, 1731623564342599434, 
-1.7655486420937176, 0.675011056513389, -0.3867034502205046, 1731623564433137163, 
-1.7134669738631436, 0.4358168400001339, -0.31953366826822865, 1731623564522678339, 
-1.6791870026223423, 0.2878721315712511, -0.3604539988445054, 1731623564642776465, 
-1.6318979317627063, 0.27189680700145785, -0.3523573227937879, 1731623564733059680, 
-1.566081126561215, 0.37701958687042475, -0.29299120071541196, 1731623564822998666, 
-1.476560596757969, 0.5177911166824578, -0.28093007127344194, 1731623564913353415, 
-1.371917690196946, 0.6472114545475627, -0.279549964764856, 1731623565012972300, 
-1.2691388559818357, 0.6914058025871106, -0.2635259667669139, 1731623565105352300, 
-1.1663228549076052, 0.6853161176311362, -0.27989953982116567, 1731623565233517334, 
-1.088233302946305, 0.603018510118436, -0.2560358764260668, 1731623565323335873, 
-1.029182488557626, 0.45713455449993096, -0.21023833266198932, 1731623565425589562, 
-0.984721211356234, 0.3450403053002364, -0.196686522350745, 1731623565513546546, 
-0.9594170332669418, 0.23255151763561374, -0.1464994799247831, 1731623565573403565, 
-0.9565209166090824, 0.09400098249050526, -0.14656119741352697, 1731623565665127124, 
-0.9364530315820878, 0.07654667228284673, -0.18080778358812602, 1731623565763568011, 
-0.9049954357616634, 0.17175160282473012, -0.17872856613014268, 1731623565856760993, 
-0.8606993827227689, 0.2525121628643963, -0.22815296422359896, 1731623566016869803, 
-0.8069759918128061, 0.3267314798295244, -0.23761244545685895, 1731623566133841657, 
-0.7491696457237855, 0.3717657899966113, -0.16701727951945822, 1731623566224186298, 
-0.6956264908945409, 0.3711650030608841, -0.15709977639142375, 1731623566343143177, 
-0.6521229577785701, 0.32348895981738474, -0.14668209642452423, 1731623566434040026, 
-0.6044953127322246, 0.3037705938743877, -0.13733435724488122, 1731623566554183862, 
-0.5595063188544924, 0.3087221297469256, -0.12133353730901472, 1731623566634467141, 
-0.508296683200149, 0.32066209844025195, -0.09489751613450968, 1731623566724424151, 
-0.4512284840301648, 0.3609261160810921, -0.09260128246234182, 1731623566817349359, 
-0.3941430243987347, 0.3805121960047142, -0.0947320427986178, 1731623566934369343, 
-0.3412190740579213, 0.3666980332408117, -0.09479110747929617, 1731623567057005165, 
-0.28570677594571503, 0.36145416151006565, -0.06865374915605318, 1731623567136080758, 
-0.23873886918806075, 0.3416006828995351, -0.04840673839063957, 1731623567224760893, 
-0.20657146209543598, 0.2637843795009302, -0.05107344711682797, 1731623567345679603, 
-0.18714274885007898, 0.17198706779327258, -0.04426577160448551, 1731623567434732698, 
-0.18016380794103615, 0.08802551384799943, -0.03426788766033831, 1731623567524818130, 
-0.17906291358772286, 0.02693278420785372, -0.03303114569428825, 1731623567616099781, 
-0.17982345119623133, 0.0011345224826827167, -0.032350894511325695, 1731623567704862008, 
-0.18026420650447506, -0.004004309722507315, -0.03764183481963456, 1731623567825550555, 
-0.1803158217743941, -0.0016412352605425322, -0.03966034411779908, 1731623567925032745, 
-0.18068322306411755, -0.0013967218654749776, -0.03603622619128204, 1731623568025284563, 
-0.18251364563080452, -0.007326079521368101, -0.03444795389473716, 1731623568115173405, 
-0.18327700595270668, -0.008645942961963785, -0.04007080453748599, 1731623568245262899, 
-0.18481939390059665, -0.0076858275659737645, -0.04076762697642128, 1731623568337295907, 
-0.18657860963228678, -0.011005345598600336, -0.033296274417055155, 1731623568425348213, 
-0.19096492265464704, -0.02048509584683463, -0.03903424242769691, 1731623568545529277, 
-0.1897253876755749, -0.010489260144293707, -0.039809045310182506, 1731623568635878231, 
-0.18839941909133273, 0.008551678544381028, -0.03416954617702506, 1731623568725656651, 
-0.18843145335436162, 0.004313114404044249, -0.03430083473622293, 1731623568817506273, 
-0.18860099905452143, -0.0006719332106290091, -0.035836275887608605, 1731623568915792427, 
-0.18873428372371892, -0.001009434564524329, -0.043061768135462815, 1731623569045842964, 
-0.18878280445919549, -0.0006060180155801712, -0.041832351960146834, 1731623569137472424, 
-0.1887756455439673, -0.00013787273416128917, -0.034082036349830265, 1731623569226396418, 
-0.18831064237250406, 0.0015738736223047667, -0.033713225991964434, 1731623569316205773, 
-0.1854960116056712, 0.010932113127653706, -0.04119081700758118, 1731623569446048638, 
-0.17862060819346182, 0.032300113930140796, -0.040724074691767156, 1731623569537361086, 
