e, e_dot, e_int, stamp, 
-1.7268997471784293, 0.3311166283053953, -0.3586246145679016, 1732833668283266000, 
-1.726942823011494, 0.33097304219517953, -0.3520051537239981, 1732833668383893624, 
-1.727658069349513, -0.0025277405702787505, -0.34543337596929574, 1732833668474935921, 
-1.7279933081630507, -0.003501617171855672, -0.34550628003493716, 1732833668573438012, 
-1.72805244976974, -0.0013146014007570095, -0.3455802551521536, 1732833668682975674, 
-1.7237199958169669, 0.01424437448694619, -0.3453177169166505, 1732833668783937963, 
-1.7122911719948448, 0.05253759258298407, -0.3442709078387701, 1732833668872946800, 
-1.6949960816447183, 0.09574638057416207, -0.3420671499637687, 1732833668973175598, 
-1.5484208375724227, 0.5462344480747405, -0.3303805394141323, 1732833669082961933, 
-1.418518913619916, 0.9215905600826738, -0.3107957221891371, 1732833669182947808, 
-1.1979281672530226, 1.1683089010646668, -0.27765786122969077, 1732833669273044388, 
-1.2314255995943342, 0.6236443800852731, -0.25652484536448483, 1732833669323538520, 
-1.2285534584030988, -0.10208430383358724, -0.24386048168336372, 1732833669433212020, 
-1.189207509432713, 0.1407269672054038, -0.24327910449534307, 1732833669582963344, 
-1.1273046536002012, 0.3374960160096589, -0.2363377080957342, 1732833669673082234, 
-1.0614929960230326, 0.4257150446989348, -0.22520034393706312, 1732833669723587113, 
-1.000295701374561, 0.4233631740854671, -0.21260622339985297, 1732833669824401217, 
-0.9729701305103782, 0.29507621837551473, -0.2023172551938648, 1732833669984921992, 
-0.9682971094102834, 0.10666197321425892, -0.19610419608634816, 1732833670073056353, 
-0.9717865398132334, 0.003945302323815995, -0.19420358531559298, 1732833670122953900, 
-0.9722711733711786, -0.013246879869650932, -0.19415698817297966, 1732833670232962204, 
-0.9725024306410235, -0.0023863027593003703, -0.1944373429216957, 1732833670380937513, 
-0.9749735756975229, -0.00900800775448074, -0.19464981198064832, 1732833670473003087, 
-0.9815988647337766, -0.030321446975843564, -0.19527165807148816, 1732833670523291413, 
-0.9874950567523537, -0.041738270182769543, -0.1962711664789102, 1732833670683230133, 
-0.9907982967679603, -0.030664773447279064, -0.19732614788360603, 1732833670781859423, 
-0.9942404189903901, -0.022484540793454483, -0.19816891816738028, 1732833670873070909, 
-0.994770141571232, -0.01323948267757243, -0.19865392382197214, 1732833670941907286, 
-0.9945486360071104, -0.0010273900557344895, -0.1989039464379155, 1732833671083524012, 
-0.9949096963925514, -0.00046518273773147695, -0.19894856493139293, 1732833671133522562, 
-0.9953214468740321, -0.002576036223072379, -0.19898531861824628, 1732833671231302394, 
