imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.0004762565218194405, 0.004394263675656851, -0.0003525136420427362, 4.872076623894722e-06, 0.00025784788308404855, 0.018895158516025554, 1.8714997287376783e-05, 0.0, 0.225, 
-0.02341498850545344, -0.012789019004245141, -0.015019614480936689, -3.656261229511025e-07, -0.00011702552644293022, 0.0031243279484788923, 8.291254393942008e-05, 2.8880844250043903e-08, 0.257, 
-0.016217926757016905, -0.017315329854207227, -0.01574267935001242, 2.999434315412963e-06, -0.000462708023049569, -0.006482347757111701, 0.00015043805541972222, 1.2305291165177177e-07, 0.28300000000000003, 
-0.04316975213537758, 0.05011305388635828, -0.03267383277657156, -1.5391796473144296e-06, -0.0011092587717180975, 0.0013875749162933736, 0.00021538626985136107, 2.0088817713247095e-07, 0.309, 
-0.024137997443758524, -0.03698780440761208, -0.027368308690323695, -0.000748291178304904, -0.0023743286437883817, 0.31515905780884707, 0.00021386106237022864, -7.893998139114592e-07, 0.334, 
-0.017881477680843416, 0.012725521907103333, -0.02139792738125304, 0.001178012693437517, 0.0014826281754875392, 0.7945435766793963, 0.0003675686781192414, -3.691389849998795e-06, 0.36100000000000004, 
-0.034789489556282936, 0.055269423302627706, -0.02915023027759027, 0.02833860380572092, 0.02937858708097809, 0.9646006367702233, 0.0023200087086034963, 0.00011013862453900228, 0.391, 
2.998115832183949, 0.027821928636537888, 1.8406545195727435, 0.04901967460187982, 0.05338129241577727, 0.918293139478048, 0.002100290824943891, 0.00038510026698271847, 0.41200000000000003, 
-0.050252682464249784, 0.03423797254411496, 0.670216151561734, 0.08305087648611278, 0.08690879260733389, 0.9556095993802179, 0.003544635201881384, 0.0008168815310818115, 0.44, 
-0.056536690532198876, 0.058797061779229685, 0.22010223067681556, 0.08360244372860501, 0.08150902257410259, 1.025683305827882, 0.009688158823120616, 0.00318549959533244, 0.457, 
